2017,3,Sants-Montjuic,11,el Poble Sec,Male,0-4,181
2017,3,Sants-Montjuic,12,la Marina del Prat Vermell,Male,0-4,6
2017,3,Sants-Montjuic,13,la Marina de Port,Male,0-4,128
2017,3,Sants-Montjuic,14,la Font de la Guatlla,Male,0-4,36
2017,3,Sants-Montjuic,15,Hostafrancs,Male,0-4,47
2017,3,Sants-Montjuic,16,la Bordeta,Male,0-4,77
2017,3,Sants-Montjuic,17,Sants - Badal,Male,0-4,95
2017,3,Sants-Montjuic,18,Sants,Male,0-4,173
2017,4,Les Corts,19,les Corts,Male,0-4,211
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Male,0-4,99
2017,4,Les Corts,21,Pedralbes,Male,0-4,35
2017,5,SarriaSantGervasi,22,Vallvidrera el Tibidabo i les Planes,Male,0-4,37
2017,5,SarriaSantGervasi,23,Sarrià,Male,0-4,116
2017,5,SarriaSantGervasi,24,les Tres Torres,Male,0-4,80
2017,5,SarriaSantGervasi,25,Sant Gervasi - la Bonanova,Male,0-4,109
2017,5,SarriaSantGervasi,26,Sant Gervasi - Galvany,Male,0-4,210
2017,5,SarriaSantGervasi,27,el Putxet i el Farró,Male,0-4,149
2017,6,Gracia,28,Vallcarca i els Penitents,Male,0-4,70
2017,6,Gracia,29,el Coll,Male,0-4,37
2017,6,Gracia,30,la Salut,Male,0-4,39
2017,6,Gracia,31,la Vila de Gracia,Male,0-4,240
2017,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Male,0-4,146
2017,7,HortaGuinardo,33,el Baix Guinardó,Male,0-4,93
2017,7,HortaGuinardo,34,Can Baró,Male,0-4,28
2017,7,HortaGuinardo,35,el Guinardó,Male,0-4,184
2017,7,HortaGuinardo,36,la Font d'en Fargues,Male,0-4,41
2017,7,HortaGuinardo,37,el Carmel,Male,0-4,142
2017,7,HortaGuinardo,38,la Teixonera,Male,0-4,46
2017,7,HortaGuinardo,39,Sant Genís dels Agudells,Male,0-4,18
2017,7,HortaGuinardo,40,Montbau,Male,0-4,19
2017,7,HortaGuinardo,41,la Vall d'Hebron,Male,0-4,28
